instance,engine,status,cost,time,vars,hard,soft,max_weight,iterations,cores,mean_core_size,agrees,n_complete
randu/nv18,RC2-plain,OPTIMUM,9.0,0.001371232999986205,18,72,27,1,,,,True,1
randu/nv18,WPM1 (this notebook),OPTIMUM,9.0,0.0038847150000265174,18,72,27,1,10.0,9.0,6.22,True,1
randu/nv18,LSU (unweighted only),OPTIMUM,9.0,0.001490349000050628,18,72,27,1,,,,True,1
randu/nv22,RC2,OPTIMUM,11.0,0.0022756360000357745,22,88,33,1,,,,True,1
randu/nv22,RC2-plain,OPTIMUM,11.0,0.0013730709999890678,22,88,33,1,,,,True,1
randu/nv22,WPM1 (this notebook),OPTIMUM,11.0,0.00741392099996574,22,88,33,1,12.0,11.0,9.73,True,1
randu/nv22,LSU (unweighted only),OPTIMUM,11.0,0.002114790999996785,22,88,33,1,,,,True,1
randu/nv26,RC2,OPTIMUM,10.0,0.0013522869999746945,26,104,39,1,,,,True,1
randu/nv26,RC2-plain,OPTIMUM,10.0,0.0013285440000458948,26,104,39,1,,,,True,1
randu/nv26,WPM1 (this notebook),OPTIMUM,10.0,0.004233214999999291,26,104,39,1,11.0,10.0,9.2,True,1
randu/nv26,LSU (unweighted only),OPTIMUM,10.0,0.0018174159999944095,26,104,39,1,,,,True,1
randu/nv30,RC2,OPTIMUM,8.0,0.0019096870000225863,30,120,45,1,,,,True,1
randu/nv30,RC2-plain,OPTIMUM,8.0,0.001135477000048013,30,120,45,1,,,,True,1
randu/nv30,WPM1 (this notebook),OPTIMUM,8.0,0.0038611900000091737,30,120,45,1,9.0,8.0,11.25,True,1
randu/nv30,LSU (unweighted only),OPTIMUM,8.0,0.0027311580000173308,30,120,45,1,,,,True,1
